offset_hex,devnag_char,itrans
0x0,ऀ,ऀ
0x1,ँ,ँ
0x2,ं,.m
0x3,ः,H
0x4,ऄ,ऄ
0x5,अ,a
0x6,आ,aa
0x7,इ,i
0x8,ई,ii
0x9,उ,u
0xa,ऊ,uu
0xb,ऋ,R^i
0xc,ऌ,L^i
0xd,ऍ,ऍ
0xe,ऎ,.e
0xf,ए,e
0x10,ऐ,ai
0x11,ऑ,ऑ
0x12,ऒ,.o
0x13,ओ,o
0x14,औ,au
0x15,क,ka
0x16,ख,kha
0x17,ग,ga
0x18,घ,gha
0x19,ङ,~Na
0x1a,च,cha
0x1b,छ,Cha
0x1c,ज,ja
0x1d,झ,jha
0x1e,ञ,~na
0x1f,ट,Ta
0x20,ठ,Tha
0x21,ड,Da
0x22,ढ,Dha
0x23,ण,Na
0x24,त,ta
0x25,थ,tha
0x26,द,da
0x27,ध,dha
0x28,न,na
0x29,ऩ,*na
0x2a,प,pa
0x2b,फ,pha
0x2c,ब,ba
0x2d,भ,bha
0x2e,म,ma
0x2f,य,ya
0x30,र,ra
0x31,ऱ,Ra
0x32,ल,la
0x33,ळ,lda
0x34,ऴ,zha
0x35,व,va
0x36,श,sha
0x37,ष,Sha
0x38,स,sa
0x39,ह,ha
0x3a,ऺ,ऺ
0x3b,ऻ,ऻ
0x3c,़,़
0x3d,ऽ,.a
0x3e,ा,aa
0x3f,ि,i
0x40,ी,ii
0x41,ु,u
0x42,ू,uu
0x43,ृ,R^i
0x44,ॄ,R^I
0x45,ॅ,ॅ
0x46,ॆ,.e
0x47,े,e
0x48,ै,ai
0x49,ॉ,ॉ
0x4a,ॊ,.o
0x4b,ो,o
0x4c,ौ,au
0x4d,्,
0x4e,ॎ,ॎ
0x4f,ॏ,ॏ
0x50,ॐ,AUM
0x51,॑,॑
0x52,॒,॒
0x53,॓,॓
0x54,॔,॔
0x55,ॕ,ॕ
0x56,ॖ,ॖ
0x57,ॗ,ॗ
0x58,क़,क़
0x59,ख़,ख़
0x5a,ग़,ग़
0x5b,ज़,ज़
0x5c,ड़,ड़
0x5d,ढ़,ढ़
0x5e,फ़,फ़
0x5f,य़,य़
0x60,ॠ,R^I
0x61,ॡ,L^I
0x62,ॢ,L^i
0x63,ॣ,L^I
0x64,।,.
0x65,॥,..
0x66,०,0
0x67,१,1
0x68,२,2
0x69,३,3
0x6a,४,4
0x6b,५,5
0x6c,६,6
0x6d,७,7
0x6e,८,8
0x6f,९,9
0x70,॰,॰
0x71,ॱ,ॱ
0x72,ॲ,ॲ
0x73,ॳ,ॳ
0x74,ॴ,ॴ
0x75,ॵ,ॵ
0x76,ॶ,ॶ
0x77,ॷ,ॷ
0x78,ॸ,ॸ
0x79,ॹ,ॹ
0x7a,ॺ,ॺ
0x7b,ॻ,ॻ
0x7c,ॼ,ॼ
0x7d,ॽ,ॽ
0x7e,ॾ,ॾ
0x7f,ॿ,a
